timestep,mean_fractional_change,median_fractional_change,p25_fractional_change,p75_fractional_change,iqr_fractional_change,n_files
10700,-0.2948922570744544,-0.29099462365591394,-0.3666666666666667,-0.22311827956989247,0.14354838709677423,250
10750,-0.29611427172646904,-0.29099462365591394,-0.3666666666666667,-0.2272727272727273,0.1393939393939394,250
10800,-0.29830592250768506,-0.29166666666666663,-0.3679824561403509,-0.2272727272727273,0.14070972886762362,250
10850,-0.30021731370519317,-0.2962962962962963,-0.3679824561403509,-0.23076923076923073,0.13721322537112018,250
10900,-0.3017510135140422,-0.2962962962962963,-0.3679824561403509,-0.2345238095238095,0.13345864661654142,250
10950,-0.30339290904033134,-0.2962962962962963,-0.3679824561403509,-0.23809523809523814,0.12988721804511277,250
11000,-0.30518605802959725,-0.30000000000000004,-0.3679824561403509,-0.24,0.12798245614035092,250
11050,-0.30595419840385457,-0.30000000000000004,-0.3698830409356725,-0.24,0.1298830409356725,250
11100,-0.3070203764790649,-0.30000000000000004,-0.37037037037037035,-0.24,0.13037037037037036,250
11150,-0.30783056815741927,-0.30000000000000004,-0.37037037037037035,-0.24,0.13037037037037036,250
11200,-0.3087782090591906,-0.3021739130434783,-0.37037037037037035,-0.24,0.13037037037037036,250
11250,-0.30919585611801415,-0.3021739130434783,-0.37037037037037035,-0.2403448275862069,0.13002554278416345,250
11300,-0.309935425727149,-0.30368906455862976,-0.37037037037037035,-0.2403448275862069,0.13002554278416345,250
11350,-0.3115995819556988,-0.30368906455862976,-0.37410714285714286,-0.24353448275862072,0.13057266009852214,250
11400,-0.3124991346213684,-0.30368906455862976,-0.37410714285714286,-0.25,0.12410714285714286,250
11450,-0.31329206391429765,-0.30368906455862976,-0.375,-0.25,0.125,250
11500,-0.3139432044404382,-0.30368906455862976,-0.375,-0.25,0.125,250
11550,-0.31462684080407455,-0.30368906455862976,-0.375,-0.25,0.125,250
11600,-0.315932918558848,-0.30434782608695654,-0.375,-0.25,0.125,250
11650,-0.3169262592887404,-0.3060200668896321,-0.375,-0.25,0.125,250
11700,-0.31752481535632876,-0.3060200668896321,-0.3782327586206896,-0.2592592592592593,0.11897349936143031,250
11750,-0.3183534060249194,-0.3076923076923077,-0.3805418719211823,-0.2592592592592593,0.12128261266192297,250
11800,-0.3190583516250142,-0.3076923076923077,-0.3805418719211823,-0.2592592592592593,0.12128261266192297,250
11850,-0.31981002125168384,-0.3090185676392573,-0.38095238095238093,-0.2592592592592593,0.12169312169312163,250
11900,-0.32112587297634176,-0.3114224137931034,-0.38369963369963367,-0.2592592592592593,0.12444037444037437,250
11950,-0.3214981673486362,-0.3114224137931034,-0.3846153846153846,-0.2592592592592593,0.12535612535612528,250
12000,-0.32231259321262723,-0.3125,-0.3846153846153846,-0.2640350877192983,0.12058029689608629,250
