timestep,mean_fractional_change,median_fractional_change,lower_bound_p25,upper_bound_p75,mean_cells,median_cells,n_files
13000,-0.4512011467632378,-0.4545454545454546,-0.5351190476190476,-0.3715277777777778,14.24,14.0,250
13050,-0.45179832716945056,-0.456439393939394,-0.5351190476190476,-0.375,14.224,14.0,250
13100,-0.4525622768429654,-0.45833333333333337,-0.5357142857142857,-0.375,14.204,14.0,250
13150,-0.45273618988644365,-0.45833333333333337,-0.5357142857142857,-0.375,14.2,14.0,250
13200,-0.4528961898864436,-0.45833333333333337,-0.5357142857142857,-0.375,14.196,14.0,250
13250,-0.4541059809348322,-0.45833333333333337,-0.5357142857142857,-0.375,14.164,14.0,250
13300,-0.45458941778783424,-0.45833333333333337,-0.5357142857142857,-0.375,14.152,14.0,250
13350,-0.4554892379676544,-0.45833333333333337,-0.5357142857142857,-0.375,14.128,14.0,250
13400,-0.45609464422380236,-0.45833333333333337,-0.5357142857142857,-0.37648809523809523,14.112,14.0,250
13450,-0.46379409067549476,-0.46153846153846156,-0.5384615384615384,-0.3916925465838509,13.912,13.5,250
13500,-0.46543518275571727,-0.4642857142857143,-0.5416666666666667,-0.3916925465838509,13.872,13.5,250
13550,-0.4664740195464723,-0.4642857142857143,-0.5416666666666667,-0.3928571428571429,13.848,13.5,250
13600,-0.46706319333564605,-0.4642857142857143,-0.5416666666666667,-0.3928571428571429,13.832,13.5,250
13650,-0.46781079969480416,-0.46651785714285715,-0.5416666666666667,-0.3928571428571429,13.812,13.5,250
13700,-0.4687696147927497,-0.46651785714285715,-0.5454545454545454,-0.3928571428571429,13.788,13.0,250
13750,-0.46912961479274967,-0.46651785714285715,-0.5476539589442815,-0.3928571428571429,13.78,13.0,250
13800,-0.4694253137174808,-0.46651785714285715,-0.5476539589442815,-0.3928571428571429,13.772,13.0,250
13850,-0.47054456678199713,-0.46651785714285715,-0.55,-0.3928571428571429,13.744,13.0,250
